date,weekday,account_name,tracked_from,enabled,article_count,share_of_daily_articles,unique_title_count,suspected_duplicate_count
2026-05-30,周六,机器之心,2026-05-30,1,11,1.0,11,0
2026-05-31,周日,机器之心,2026-05-30,1,0,0,0,0
2026-06-01,周一,机器之心,2026-05-30,1,0,0,0,0
2026-06-02,周二,机器之心,2026-05-30,1,0,0,0,0
2026-06-03,周三,机器之心,2026-05-30,1,0,0,0,0
2026-06-04,周四,机器之心,2026-05-30,1,0,0,0,0
2026-06-05,周五,机器之心,2026-05-30,1,0,0,0,0
2026-06-06,周六,机器之心,2026-05-30,1,0,0,0,0
2026-06-07,周日,CCUS国家地方联合工程研究中心,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,DT洞见可持续,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,DeepTech深科技,2026-06-07,1,3,0.039,3,0
2026-06-07,周日,ESPLaza长时储能网,2026-06-07,1,2,0.026,2,0
2026-06-07,周日,REAI Lab,2026-06-07,1,2,0.026,2,0
2026-06-07,周日,SOFC-SOEC-氢能技术,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,世界先进制造技术论坛,2026-06-07,1,5,0.0649,5,0
2026-06-07,周日,中粉固态电池,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,低碳节能环保技术,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,催化视界,2026-06-07,1,3,0.039,3,0
2026-06-07,周日,南方能源观察,2026-06-07,1,2,0.026,2,0
2026-06-07,周日,可控核聚变,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,国际能源小数据,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,国际能源研究中心,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,地学前沿观察,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,工业节能环保技术,2026-06-07,1,2,0.026,2,0
2026-06-07,周日,战略前沿技术,2026-06-07,1,8,0.1039,8,0
2026-06-07,周日,新华国研经济学研究院,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,新智元,2026-06-07,1,9,0.1169,9,0
2026-06-07,周日,星源PlanetaryEnergy,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,晚点LatePost,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,未来城市数智评论,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,机器之心,2026-05-30,1,9,0.1169,9,0
2026-06-07,周日,氢能技术前沿,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,深远海风电,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,源网荷储创研新视界,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,环球科学,2026-06-07,1,4,0.0519,4,0
2026-06-07,周日,现代情报,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,社科院工业经济研究所,2026-06-07,1,1,0.013,1,0
2026-06-07,周日,能源学人,2026-06-07,1,5,0.0649,5,0
2026-06-07,周日,钙钛矿工厂,2026-06-07,1,5,0.0649,5,0
2026-06-08,周一,CCUS国家地方联合工程研究中心,2026-06-07,1,0,0.0,0,0
2026-06-08,周一,CSSD气候变化工作委员会,2026-06-08,1,0,0.0,0,0
2026-06-08,周一,DT洞见可持续,2026-06-07,1,3,0.0197,3,0
2026-06-08,周一,DeepTech深科技,2026-06-07,1,3,0.0197,3,0
2026-06-08,周一,ESPLaza储热网,2026-06-08,1,1,0.0066,1,0
2026-06-08,周一,ESPLaza长时储能网,2026-06-07,1,4,0.0263,4,0
2026-06-08,周一,Gartner公司,2026-06-08,1,0,0.0,0,0
2026-06-08,周一,IEEE电气电子工程学会,2026-06-08,1,3,0.0197,3,0
2026-06-08,周一,REAI Lab,2026-06-07,1,3,0.0197,3,0
2026-06-08,周一,SOFC-SOEC-氢能技术,2026-06-07,1,1,0.0066,1,0
2026-06-08,周一,VPP前沿观察,2026-06-08,1,0,0.0,0,0
2026-06-08,周一,世界先进制造技术论坛,2026-06-07,1,5,0.0329,5,0
2026-06-08,周一,世界科技研究与发展,2026-06-08,1,0,0.0,0,0
2026-06-08,周一,中咨研究,2026-06-08,1,0,0.0,0,0
2026-06-08,周一,中国可再生能源学会地热能专委会,2026-06-08,1,0,0.0,0,0
2026-06-08,周一,中国国际可再生能源署合作办公室,2026-06-08,1,0,0.0,0,0
